EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,Department_clean,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Data_Quality_Notes
RM905,48,46-55,No,Travel_Rarely,715,Research & Development,Research & Development,1,3,Life Sciences,1,1263,4,Male,76,2,5,Research Director,4,Single,18265,15k+,8733,6,Y,No,12,3,3,80,0,25,3,4,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM908,44,36-45,No,Travel_Rarely,1099,Sales,Research & Development,5,3,Marketing,1,1267,2,Male,88,3,5,Manager,2,Married,18213,15k+,8751,7,Y,No,11,3,3,80,1,26,5,3,22,9,3,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM478,50,46-55,No,Travel_Frequently,1246,Human Resources,Human Resources,3,3,Medical,1,644,1,Male,99,3,5,Manager,2,Married,18200,15k+,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM107,50,46-55,No,Travel_Frequently,1115,Research & Development,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,18172,15k+,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM937,45,36-45,No,Travel_Frequently,364,Research & Development,Research & Development,25,3,Medical,1,1306,2,Female,83,3,5,Manager,2,Single,18061,15k+,13035,3,Y,No,22,4,3,80,0,22,4,3,0,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM418,40,36-45,No,Travel_Rarely,1398,Sales,Research & Development,2,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married,18041,15k+,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM654,50,46-55,No,Non-Travel,881,Research & Development,Human Resources,2,4,Life Sciences,1,905,1,Male,98,3,4,Manager,1,Divorced,17924,15k+,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1375,58,55+,No,Travel_Rarely,605,Sales,Research & Development,21,3,Life Sciences,1,1938,4,Female,72,3,4,Manager,4,Married,17875,15k+,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM955,42,36-45,No,Non-Travel,495,Research & Development,Research & Development,2,1,Life Sciences,1,1334,3,Male,37,3,4,Manager,3,Married,17861,15k+,26582,0,Y,Yes,13,3,4,80,0,21,3,2,20,8,2,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM430,46,46-55,No,Travel_Rarely,1009,Research & Development,Sales,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17861,15k+,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM868,50,46-55,No,Travel_Frequently,1421,Research & Development,Research & Development,2,3,Medical,1,1215,4,Female,30,3,4,Manager,1,Married,17856,15k+,9490,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM895,54,46-55,No,Travel_Rarely,685,Research & Development,Research & Development,3,3,Life Sciences,1,1250,4,Male,85,3,4,Research Director,4,Married,17779,15k+,23474,3,Y,No,14,3,1,80,0,36,2,3,10,9,0,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM800,42,36-45,No,Travel_Rarely,469,Research & Development,Research & Development,2,2,Medical,1,1109,4,Male,35,3,4,Manager,1,Married,17665,15k+,14399,0,Y,No,17,3,4,80,1,23,3,3,22,6,13,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM756,45,36-45,No,Travel_Rarely,1234,Sales,Research & Development,11,2,Life Sciences,1,1045,4,Female,90,3,4,Manager,4,Married,17650,15k+,5404,3,Y,No,13,3,2,80,1,26,4,4,9,3,1,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM589,50,46-55,No,Travel_Rarely,691,Research & Development,Sales,2,3,Medical,1,815,3,Male,64,3,4,Research Director,3,Married,17639,15k+,6881,5,Y,No,16,3,4,80,0,30,3,3,4,3,0,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1186,43,36-45,No,Travel_Rarely,1291,Research & Development,Research & Development,15,2,Life Sciences,1,1666,3,Male,65,2,4,Research Director,3,Married,17603,15k+,3525,1,Y,No,24,4,1,80,1,14,3,3,14,10,6,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM281,53,46-55,No,Travel_Rarely,1070,Research & Development,Human Resources,3,4,Medical,1,386,3,Male,45,3,4,Research Director,3,Married,17584,15k+,21016,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
